name
stringequals
stringnotequals
stringequalsignorecase
stringlike
stringnotlike
numericequals
numericnotequals
numericlessthan
numericlessthanequals
numericgreaterthan
numericgreaterthanequals
dateequals
datenotequals
datelessthan
datelessthanequals
dategreaterthan
dategreaterthanequals
bool
binaryequals
ipaddress
notipaddress
arnequals
arnlike
arnnotequals
arnnotlike
null
