name
aws:calledvia
aws:calledviafirst
aws:calledvialast
aws:currenttime
aws:ec2instancesourcevpc
aws:ec2instancesourceprivateipv4
aws:epochtime
aws:federatedprovider
aws:multifactorauthage
aws:multifactorauthpresent
aws:principalaccount
aws:principalarn
aws:principalisawsservice
aws:principalorgid
aws:principalorgpaths
aws:principalservicename
aws:principalservicenameslist
aws:principaltag
aws:principaltype
aws:referer
aws:requestedregion
aws:requesttag
aws:resourceaccount
aws:resourceorgid
aws:resourceorgpaths
aws:resourcetag
aws:securetransport
aws:secureaccount
aws:sourceaccount
aws:sourcearn
aws:sourceidentity
aws:sourceip
aws:sourcevpc
aws:sourcevpce
aws:tagkeys
aws:tokenissuetime
aws:useragent
aws:userid
aws:username
aws:viaawsservice
aws:vpcsourceips
